epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,95261.8,1.40342,2.7243,0.00725,0.35296,0.33871,0.22305,0.16969,1.06777,2.6492,0.00745,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899
31,98430,1.39329,2.69746,0.00713,0.3505,0.3446,0.22531,0.1716,1.0638,2.63644,0.00741,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
32,101602,1.3782,2.66772,0.00702,0.35646,0.34477,0.22765,0.17378,1.05771,2.62247,0.00735,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778
33,104770,1.37031,2.64838,0.00695,0.35194,0.34958,0.23039,0.17624,1.05458,2.60811,0.0073,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239
34,107944,1.36019,2.60728,0.00684,0.34595,0.35241,0.23339,0.17876,1.04905,2.59609,0.00725,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532
35,111115,1.3501,2.58036,0.00674,0.34623,0.35694,0.23603,0.18104,1.04444,2.5796,0.00719,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766
36,114287,1.33895,2.55317,0.00666,0.32857,0.36392,0.23868,0.18332,1.03857,2.56224,0.00714,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046
37,117458,1.321,2.51163,0.00653,0.32638,0.36783,0.24064,0.1852,1.03291,2.54778,0.00708,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475
38,120630,1.30444,2.47917,0.00641,0.32634,0.37085,0.24352,0.18771,1.02743,2.53222,0.00701,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149
39,123801,1.28853,2.43583,0.00632,0.31877,0.37767,0.24606,0.19022,1.02157,2.51507,0.00697,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161
40,126970,1.28131,2.40927,0.00617,0.32262,0.37824,0.24896,0.19266,1.01606,2.50425,0.0069,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596
41,130144,1.25238,2.32434,0.00674,0.32864,0.37617,0.25106,0.1943,1.01178,2.48524,0.00684,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537
42,133319,1.23093,2.27043,0.00651,0.33054,0.37742,0.2533,0.19636,1.0078,2.47102,0.0068,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577
43,136499,1.21254,2.22458,0.00637,0.32812,0.37973,0.2546,0.19746,1.00488,2.46063,0.00676,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282
44,139676,1.1919,2.16752,0.00618,0.32969,0.38092,0.25644,0.19905,1.00235,2.45233,0.00673,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106
45,142849,1.18101,2.12474,0.00606,0.33218,0.3842,0.2575,0.19997,1.00009,2.44735,0.0067,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606
46,146021,1.16583,2.08194,0.0059,0.33352,0.38601,0.25815,0.20055,0.99883,2.44536,0.00667,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227
47,149195,1.15179,2.04259,0.00578,0.33426,0.38586,0.25848,0.20071,0.99649,2.44664,0.00666,0.00076654,0.000255513,0.00076654,0.000255513,0.00076654,0.000255513,0.00076654,0.000255513
48,152371,1.13827,2.00179,0.00571,0.33419,0.3859,0.25814,0.20043,0.99523,2.45033,0.00664,0.000563034,0.000187678,0.000563034,0.000187678,0.000563034,0.000187678,0.000563034,0.000187678
49,155545,1.13382,1.97595,0.00563,0.33266,0.38529,0.25775,0.19998,0.99617,2.45627,0.00665,0.000417097,0.000139032,0.000417097,0.000139032,0.000417097,0.000139032,0.000417097,0.000139032
50,158720,1.12507,1.95492,0.00557,0.32901,0.38498,0.25704,0.19918,0.99667,2.46609,0.00666,0.000329303,0.000109768,0.000329303,0.000109768,0.000329303,0.000109768,0.000329303,0.000109768
